ICA,PCA,MAPE,MAE,MSE,R^2
5,14,19.1012208625747,0.567111002031651,0.573639173891872,0.251346690960517
5,15,19.5441074800798,0.582106593411088,0.579323431138053,0.243928198307875
5,16,20.5873864974667,0.610956309866766,0.611416453543959,0.202043772496696
5,17,20.542443211343,0.609271089852619,0.628811454753717,0.179341652751147
5,18,19.7661278528175,0.585751990577975,0.559699470625903,0.269539320495026
5,19,20.9037478023714,0.616486397297222,0.632586683963155,0.174414622017083
5,20,19.785876293546,0.584035767946068,0.580895944871148,0.241875919343374
5,21,20.31932743639,0.597721192985517,0.582483329015603,0.23980423308736
5,22,20.825407194231,0.609945954350828,0.60130155058068,0.215244676337861
5,23,20.6734726009048,0.607242165605727,0.617938907238297,0.193531354301485
5,24,21.2664752308534,0.626055412441006,0.627512890694656,0.181036401513195
5,25,21.2158661984179,0.62557239168663,0.615853389745648,0.19625315163157
5,26,21.3176528719807,0.625564536074986,0.614320887050514,0.198253212412008
5,27,21.4919423722886,0.626858101513517,0.629421309998729,0.178545734048253
5,28,21.7966992797852,0.635007346965388,0.640422313986807,0.164188384666838
5,29,21.6586760841716,0.631958522254389,0.631334697712935,0.176048582338761
6,10,18.638044765218,0.557900804120043,0.559159666316447,0.270243816109867
6,11,18.0651568170583,0.541790513509646,0.523185177441535,0.31719392231423
6,12,17.7375226912316,0.535679812504453,0.507443330421055,0.337738519682501
6,13,17.7640071894727,0.533892259095471,0.507529979265644,0.337625434755288
6,14,17.6721689767568,0.531717262150834,0.497111740334955,0.351222220687649
6,15,17.8801669772484,0.534315859652602,0.503301597052439,0.343143872965013
6,16,17.9712814203913,0.540351153932539,0.510202773240095,0.334137186141132
6,17,18.5829731262029,0.553283087747435,0.522937883224582,0.317516664627263
6,18,18.7456944078207,0.556853837661528,0.521763208614589,0.319049725955431
6,19,19.0724026376813,0.565081858418921,0.539072344254994,0.296459668888923
6,20,19.5870449691974,0.580553851061853,0.569949757010771,0.256161728500097
6,21,19.949450351225,0.589287797621517,0.579095825667584,0.244225244946906
6,22,19.5768675441376,0.5759443651161,0.562075542857996,0.266438321783581
6,23,19.7532820364066,0.582286648112052,0.561241638882093,0.267526645244381
6,24,19.8778470233113,0.590646152436171,0.581805234686666,0.240689210240777
6,25,20.1715136260029,0.596803421405712,0.582893383711188,0.23926907297503
6,26,20.552736058975,0.600798987858326,0.575562314329472,0.248836811025734
6,27,20.2328651597332,0.595283947161703,0.585395478055251,0.236003603503162
6,28,20.6436767250203,0.606218332911374,0.594832535596574,0.223687351968291
6,29,20.8532002504579,0.613055512216608,0.608859876566187,0.205380346952093
7,10,17.4072365062287,0.527428984219021,0.497904862471909,0.350187121379012
7,11,17.7878275306919,0.535688795308445,0.511885008977508,0.331941709596435
7,12,17.7040887001483,0.534098472713707,0.494067917937286,0.355194696442196
7,13,18.0255028224684,0.539186876250226,0.505154129111251,0.340726143634357
7,14,18.3336087586538,0.544586226784033,0.522745316479051,0.317767982420424
7,15,18.1012593672335,0.536834876564811,0.510536647160399,0.333701449136734
7,16,18.4122782952348,0.546518573913892,0.522262780039432,0.31839773805549
7,17,18.1433962118071,0.539381252960048,0.491356049677848,0.358733940689294
7,18,18.1549195780278,0.532244632295269,0.49604208441779,0.352618222701399
7,19,18.6766627844489,0.555005756510565,0.504581252571111,0.341473801634311
7,20,18.6002369798192,0.54828700661677,0.509061137734713,0.335627128316843
7,21,18.8804867651675,0.555401623695343,0.522025477490707,0.318707440297652
7,22,18.6127323743823,0.543436451932948,0.523215380439328,0.317154504549075
7,23,19.420521830409,0.570645278563989,0.555310502410371,0.275267338607063
7,24,18.8098022041015,0.558840526094321,0.524794924254414,0.315093050663501
7,25,19.3782414874134,0.567036680177567,0.53456422069915,0.30234319597572
7,26,19.9327228260817,0.580576968032103,0.544810751864417,0.288970504897096
7,27,19.7533693956416,0.577693751097283,0.545419723055897,0.288175739967571
7,28,19.8664879202764,0.578354935818712,0.549425711804281,0.282947546237172
7,29,20.7738049842723,0.60626132269242,0.591380673894271,0.228192357559599
8,10,17.6694832677427,0.533850277448789,0.520084252224926,0.321240922641541
8,11,16.5669981346924,0.495415055838849,0.448857071388156,0.414199121896344
8,12,17.3270548478854,0.517934680902737,0.4840117442486,0.368318953032331
8,13,17.3908988731475,0.519967558536502,0.458709228944151,0.401341125631144
8,14,17.5044532205491,0.515018307840005,0.464610762953824,0.393639066277744
8,15,17.0219312770629,0.505939708766932,0.441991500291787,0.423159340712766
8,16,17.5003175688991,0.524912461928608,0.497434298864106,0.350801251337579
8,17,17.2785179672168,0.51723035526043,0.458042610858353,0.402211125203197
8,18,18.1504393722979,0.541721723263914,0.495496186716908,0.353330670767646
8,19,17.8768236879536,0.521682532548634,0.475176719971945,0.379849494287537
8,20,18.5207748888104,0.53985994779549,0.496825369848286,0.351595961223884
8,21,18.8279024002188,0.550638639554601,0.524106246969366,0.31599183957433
8,22,18.1862613556109,0.525211340177041,0.482790707616373,0.369912521178964
8,23,18.8420818389964,0.54853163568639,0.516594325235532,0.325795607028225
8,24,19.4338173876719,0.567585152011566,0.539427708682569,0.295995884742498
8,25,18.8272910495959,0.546355342469349,0.507629752044568,0.337495221854055
8,26,19.629874261076,0.57117532309409,0.538470490906873,0.297245144360499
8,27,19.3060646991442,0.556436212706976,0.516083693516764,0.326462029656517
8,28,20.1473001864248,0.584898325234247,0.572616313810911,0.252681619987592
8,29,19.7770991258237,0.575968423914632,0.54263012188236,0.291816433010377
9,10,16.3085895546549,0.497046185180126,0.462713455168904,0.396115232160575
9,11,16.1490262105439,0.489870206807382,0.449915177920832,0.41281819292033
9,12,16.619470001112,0.497669790067266,0.459534435227977,0.400264153480106
9,13,16.5610394164459,0.503347154310899,0.45418940856294,0.407239918179952
9,14,16.126875623075,0.490064620823565,0.441659091110846,0.423593166093934
9,15,15.9466120214622,0.485434834588676,0.435637086998791,0.43145245031079
9,16,16.0580934087084,0.484643019562144,0.429693745186707,0.439209072795587
9,17,16.5277253236527,0.500284687832512,0.454589257982723,0.406718076916554
9,18,16.1051630051677,0.481721094094576,0.412577754295216,0.461547057719921
9,19,16.3047438247352,0.484417840187637,0.413479224959734,0.460370553347992
9,20,16.9922462423295,0.510617634212256,0.460975303523015,0.398383684247763
9,21,16.9416014628474,0.506619518247044,0.445120027916066,0.419076316636067
9,22,17.502927311059,0.51572774620055,0.461797003733743,0.397311287853307
9,23,17.7145541479684,0.526836038233062,0.480510250210003,0.372888733510872
9,24,18.2294173214325,0.535674522373017,0.487589502727796,0.363649640254715
9,25,18.2043608506511,0.5321046788385,0.47842000370543,0.37561670264823
9,26,19.2624387485798,0.562425028075815,0.526279310752281,0.313155786065648
9,27,18.7207906008739,0.547559835798478,0.516393672912132,0.326057477264284
9,28,18.9912563936296,0.551718640691983,0.504436608246968,0.341662576140711
9,29,19.4486317487922,0.558180837315924,0.532709483984115,0.304763802591004
10,10,16.5251556111372,0.507713879645796,0.480043133162702,0.373498365382417
10,11,16.648806479784,0.508958220582907,0.488179555223726,0.362879566009981
10,12,16.4783438613382,0.503295077852106,0.471248358878468,0.384976376595417
10,13,16.5340877052,0.504516200968958,0.46222377158805,0.396754315490086
10,14,16.3580837510432,0.507885118084423,0.468945824581666,0.387981401354767
10,15,16.2300442614841,0.495205082993405,0.442924595465221,0.421941563369386
10,16,16.3522393700718,0.50145403902071,0.452220701124374,0.409809267355346
10,17,16.3707489576451,0.492968837281623,0.43981264476296,0.426002952996963
10,18,16.7927282826009,0.505875479198759,0.454466603898097,0.406878152083143
10,19,16.6139918291999,0.494287228764368,0.423911673601457,0.446755222400454
10,20,16.8814876346149,0.505002914536563,0.455901991673009,0.405004835447266
10,21,17.1772657172408,0.511964699433954,0.460682156477803,0.398766268833024
10,22,16.92772639989,0.500294278649116,0.438579671967758,0.427612098963792
10,23,16.9667030451162,0.501352962933105,0.435077959674511,0.432182164285268
10,24,17.2664469708811,0.510561389774094,0.452359470160097,0.409628160655326
10,25,17.5166652621707,0.512650154813059,0.468257495937027,0.388879735256929
10,26,17.9533572692462,0.523651518166398,0.482566640660155,0.370204949722645
10,27,18.1746452630513,0.527498436699395,0.495321990206379,0.35355801366884
10,28,18.5498541288155,0.535676041418885,0.496662026783722,0.351809139352855
10,29,18.7318548642508,0.542633342185321,0.521210450850353,0.31977112705237
11,10,15.8001023798604,0.473939300025552,0.424789024295297,0.445610196868681
11,11,16.0079522825535,0.477550663150671,0.418693260094294,0.453565744969141
11,12,14.8025651159645,0.441459712849114,0.363682906377153,0.52535945295871
11,13,15.6337786914519,0.466508483066263,0.414759095813271,0.458700200984951
11,14,15.8884744391921,0.4704571188844,0.414631198969701,0.458867118447202
11,15,15.3171935772902,0.458794788628822,0.395107535242351,0.484347343855954
11,16,15.254129324657,0.462320057325516,0.398943424907472,0.479341145497116
11,17,15.6262644009147,0.470570577645923,0.410785905791199,0.463885589279279
11,18,15.5345011014188,0.467046158398932,0.405213120728077,0.471158600203143
11,19,15.503912713576,0.458680238980347,0.392746883865024,0.487428216895244
11,20,15.6465952159828,0.468004017252949,0.406532443224622,0.469436759719295
11,21,15.6339592520137,0.465607308841159,0.395923792277211,0.48328205132018
11,22,15.5899067314861,0.458477869505184,0.388004916109913,0.49361693275148
11,23,16.3811252644762,0.476344433738117,0.411336210623543,0.463167389490168
11,24,16.2096666217259,0.473719731938449,0.417218788697259,0.455490069423808
11,25,16.5170541536224,0.478509113690633,0.41448762695047,0.459054493494402
11,26,16.8406353571563,0.489342088854241,0.429400810782748,0.439591379863927
11,27,16.8958625644859,0.490198394529629,0.429268796747013,0.439763670650872
11,28,17.299152907879,0.501673944710956,0.444779595702612,0.419520612832537
11,29,17.7879020429204,0.514183626241866,0.462740938023392,0.396079364439383
12,10,14.7671134945919,0.440830486824428,0.36536566435986,0.523163294834572
12,11,14.7491291896273,0.438126078915156,0.369114541366822,0.518270656214022
12,12,14.4401782995135,0.426166562032614,0.352514007507479,0.539935921020294
12,13,14.3538004447299,0.422180081182599,0.34691683672132,0.547240757616247
12,14,14.0737632948464,0.416825133032756,0.332613036578979,0.565908567967744
12,15,13.4759046610512,0.399710026700685,0.319422753555888,0.583123133293552
12,16,13.9645221273361,0.416687581825272,0.339881944360524,0.556421956677172
12,17,14.2753351329077,0.426377372930743,0.355030524206172,0.536651629013269
12,18,14.4290291922979,0.434934757665793,0.360747696343685,0.529190179318231
12,19,14.7694686583969,0.443480495991381,0.375113959270081,0.510440849133182
12,20,15.0738553053882,0.447112016085052,0.375210128076867,0.510315339756026
12,21,15.1004333642443,0.453575194249183,0.382207890282772,0.501182599054622
12,22,15.1897147828045,0.449228392018577,0.376966782102509,0.50802274031549
12,23,15.294585115302,0.449974727451052,0.376647608688205,0.50843929177092
12,24,15.6589592535014,0.459699974205414,0.383727274042978,0.499199659723507
12,25,15.7008620746671,0.459074141964855,0.39022539322805,0.490719000361575
12,26,16.2108726529172,0.47410715734683,0.410735327076541,0.463951599279675
12,27,16.0523742744051,0.467195359425914,0.401090312278114,0.476539254679126
12,28,16.7191495314183,0.486725468859582,0.428792538018618,0.440385233279785
12,29,17.1902402400688,0.497037084945425,0.441032580487704,0.424410821638589
13,10,14.1128476139536,0.425261944767254,0.336903038244459,0.560309710552102
13,11,14.1289559111022,0.420498718396458,0.335100401108135,0.562662322295736
13,12,14.2753461905769,0.419402839597462,0.349640715877055,0.543685838014906
13,13,13.9161393910051,0.411522812596479,0.334290166419719,0.563719755100519
13,14,13.493485223186,0.407264125864324,0.339209514479887,0.557299541190483
13,15,13.753275772674,0.410180729565004,0.323761451400968,0.577460722763595
13,16,14.2859379753312,0.424567891019704,0.351731801303304,0.540956774005515
13,17,13.9954729617238,0.420481167467033,0.349818007404647,0.543454455824084
13,18,14.0501024580722,0.423387752910548,0.346178300825217,0.548204616724248
13,19,14.4658937747358,0.430829472278017,0.348063364105068,0.545744431077172
13,20,14.691104210927,0.44093185138605,0.356476897469798,0.534763975276909
13,21,14.9038825040366,0.442956825581903,0.361114156185649,0.528711914607933
13,22,15.0744882941646,0.446555749062782,0.367934268090555,0.519811024330538
13,23,15.2401716427375,0.453008787380634,0.373615829298205,0.512396050262851
13,24,15.5137785120734,0.457204603378555,0.375262871237583,0.510246504949067
13,25,15.6642919858924,0.464145989475965,0.391075910484218,0.489608995000704
13,26,15.9784956912733,0.468687679496458,0.397810103156021,0.480820237438611
13,27,15.894026012361,0.466984446565317,0.395279899958466,0.484122391619506
13,28,16.2797431020953,0.473524134743921,0.404953322347591,0.471497661630755
13,29,16.5325615108373,0.482998985790243,0.414065199225845,0.45960580157841
14,10,14.4837561180919,0.429774061230483,0.344353109544756,0.550586663756489
14,11,14.0639822997785,0.420102256238468,0.327423219706008,0.572681769227515
14,12,14.0059001461533,0.417173758707896,0.337611013690872,0.559385735717749
14,13,14.1071896070952,0.419360218638221,0.324222491198473,0.576859022277103
14,14,13.8021524376208,0.415066873375369,0.335820709985041,0.561722251169549
14,15,13.9311351762289,0.418278597714086,0.324660772035287,0.576287024384172
14,16,14.2046695662513,0.42472064057423,0.343394951283602,0.551837150796853
14,17,14.1615653606016,0.423594969657233,0.337419830113644,0.559635248345617
14,18,14.2677474455854,0.427538727012198,0.337343555269682,0.559734794222063
14,19,14.0107489587222,0.421472725305419,0.32808086660762,0.571823477898262
14,20,13.9727273527717,0.417312051597489,0.322449421798035,0.579173045332378
14,21,14.4831350777664,0.435135325925842,0.343016658594106,0.552330858490935
14,22,14.7226797188924,0.44055777117646,0.34129250518792,0.554581041553007
14,23,15.16358052207,0.451616363820073,0.364030718497162,0.524905525287065
14,24,14.9924471437984,0.448437916956034,0.355031288436766,0.536650631620154
14,25,14.7667612014712,0.442420043247642,0.356291571150357,0.535005843630076
14,26,15.5889825829376,0.461799786055048,0.367445545681187,0.520448853240465
14,27,15.8304523835694,0.463141654431645,0.387356035041942,0.494463783839793
14,28,15.8402296360141,0.46823408156491,0.387206447761884,0.494659009370584
14,29,16.2793944466042,0.47612669261819,0.399080085942359,0.479162789937311
15,10,13.8840630545288,0.425286237606616,0.332081916274456,0.566601730135839
15,11,14.0369505475518,0.419735424953127,0.326840729144817,0.5734419744331
15,12,13.1474051905776,0.397048706171734,0.292156128521609,0.618708654623551
15,13,13.4922989489546,0.407682628360179,0.307927628293802,0.598125357613236
15,14,13.0025176526077,0.392450308181485,0.292571772264083,0.618166200277077
15,15,12.9156135359232,0.387124835667739,0.295874109214868,0.61385633861091
15,16,12.7173801228029,0.381487221309443,0.287084758823507,0.625327271131359
15,17,13.2458251396681,0.39091120241346,0.300378716352584,0.607977400781936
15,18,13.2100408532434,0.393666922406895,0.306527801418088,0.599952263916506
15,19,13.777928842657,0.412424446279446,0.321508406255562,0.580401159505526
15,20,14.3467181139066,0.432224566391508,0.340085247303907,0.556156627131653
15,21,13.2721029691717,0.396095364686633,0.294231888730941,0.615999591469886
15,22,13.503607903467,0.407724585178503,0.307401325473501,0.598812232509352
15,23,14.5382203852735,0.432829289027883,0.332425469164466,0.566153361161679
15,24,14.7115566621138,0.440442521907066,0.353801428660599,0.53825571480308
15,25,14.6691015772679,0.434009186469184,0.3434877045121,0.551716099072006
15,26,14.7647485267993,0.434463920208034,0.343257280839288,0.55201682373131
15,27,14.529225881798,0.42949589992302,0.340758869577834,0.555277486432462
15,28,15.0471560359947,0.442400569481029,0.354203420729517,0.537731077180162
15,29,15.5658390092249,0.45746514525756,0.383666005741507,0.499279620644454
16,10,14.1180269319058,0.428911106724101,0.346138799005551,0.548256170330333
16,11,13.6344473774546,0.413811817548953,0.312476667139637,0.592188432208058
16,12,12.7407328969165,0.389538059103341,0.279330311784016,0.635447557018565
16,13,12.8787834480712,0.392146256972098,0.300485606112124,0.607837899548715
16,14,12.7116222524811,0.387634399995881,0.299418565837819,0.609230487901455
16,15,12.771504044958,0.384144075553245,0.290768657423622,0.620519435469735
16,16,11.787176866397,0.358832091367046,0.251312651862505,0.672013249820668
16,17,12.3905709956943,0.3717991212288,0.27502855196212,0.641061759939027
16,18,12.0230955797467,0.362037401236923,0.257069243824797,0.664500353530617
16,19,12.2069628829835,0.368368414623693,0.267697077504127,0.650630026652538
16,20,13.0192926074626,0.390718724887451,0.292720436338,0.617972179617508
16,21,12.8342808135419,0.384585715522497,0.28082629157905,0.633495162072784
16,22,13.1918513950866,0.392567906872413,0.291988241774688,0.618927762687202
16,23,13.3255742510461,0.397221813838021,0.296170373946273,0.613469685150664
16,24,13.7389482880724,0.407980831712984,0.305891882446898,0.600782198244095
16,25,13.5405354802582,0.403110918208415,0.304615641505687,0.602447813228662
17,10,14.5319073400774,0.441754886585535,0.346351245240089,0.547978907926162
17,11,13.9026989413936,0.418366479363571,0.319116361515462,0.583523003848717
17,12,13.1204295579517,0.398291795705929,0.28962242599276,0.622015375762338
17,13,12.6097512206518,0.380642967680328,0.2699589362365,0.647678087347064
17,14,12.5909173666775,0.380018087182821,0.272991322471745,0.643720536864764
17,15,11.8959870222051,0.361715774459287,0.257415274574495,0.664048750715501
17,16,11.9838427124479,0.364732866049333,0.255053095813141,0.667131617135226
17,17,12.1297323878171,0.368630103340465,0.262533889612267,0.657368474576532
17,18,12.0677205451008,0.364517028805656,0.255956533162573,0.665952546053707
17,19,12.3073485880989,0.370706403755085,0.26949980154817,0.648277301486121
17,20,12.4447630713982,0.371081298144249,0.263489987498263,0.656120676520378
17,21,12.5785803982905,0.376135717911724,0.276070330858208,0.639702140071102
17,22,12.7584835899554,0.38185572549116,0.276101971673707,0.639660845818021
17,23,12.9332178602935,0.387352481621901,0.283899890857752,0.629483824675706
17,24,13.0449146647866,0.389748490214752,0.286776745220891,0.625729257978358
17,25,13.2093285786082,0.391690185509675,0.290731734367561,0.620567623545721
18,10,14.2429826569205,0.435175788208811,0.338272302536853,0.558522691307069
18,11,13.7370260898911,0.422015225407727,0.32223677968454,0.579450563377092
18,12,13.0238679730532,0.391615703575368,0.285619159890854,0.627240016181896
18,13,12.6317531686957,0.380302567640893,0.276929673156854,0.638580617196166
18,14,11.9887298643903,0.360962620761144,0.252815497964728,0.670051893695401
18,15,11.7909744337878,0.357305992273631,0.246118954086316,0.678791516025736
18,16,12.0912381100366,0.365121032773768,0.255599750926824,0.666418180573728
18,17,12.0240344731668,0.363116628148631,0.267483684838083,0.650908524239226
18,18,11.6348912814115,0.35025761618236,0.237247454583717,0.690369660896321
18,19,12.3091478140462,0.367172836507163,0.262300377152433,0.657673230394672
18,20,11.8005808477234,0.353314701439002,0.250651777538634,0.672875753240837
18,21,12.5654026722556,0.37676196019343,0.270704565276285,0.646704971016525
18,22,12.7390684142521,0.381703265285654,0.271898335106327,0.64514698862242
18,23,12.7732844625178,0.383441581509559,0.276908456237939,0.638608307279544
18,24,13.4843339091081,0.400525877828452,0.303714782085002,0.60362351986965
18,25,12.8784765365971,0.383033406246325,0.278552109278279,0.636463184799126
19,10,14.5335289335673,0.441810546425031,0.35093578606856,0.541995649080056
19,11,13.4242102503883,0.416100057299224,0.316057838364776,0.587514665474613
19,12,13.2777023279385,0.404323870982748,0.304566310401215,0.602512194979913
